Goat_id,Gender,Birth_date,Breed,Cohort_id
1876,Female,01:29.1,Cull,1876
1877,Female,02:56.7,ARG,1877
1878,Female,02:56.9,,1878
1879,Female,05:35.8,,1879
1881,Female,06:32.2,Cull,1881
1882,Female,06:32.4,ARG,1882
1883,Female,10:32.0,Cull,1883
1884,Female,10:46.1,,1884
1886,Female,10:46.3,ARG,1886
1888,Male,13:30.2,,1888
1893,Female,13:46.6,,1893
1894,Female,13:46.8,ARG,1894
1897,Female,30:41.6,ARG,1897
1898,Female,32:52.1,,1898
1899,Female,36:37.8,,1899
1900,Female,56:18.5,ARG,1900
1901,Female,11:42.8,,1901
1902,Female,11:58.8,Cull,1902
1905,Female,11:58.9,,1905
1906,Female,12:52.2,,1906
1907,Female,13:53.3,,1907
1908,Female,13:53.4,,1908
1909,Female,15:26.1,ARG,1909
1910,Female,17:00.9,ARG,1910
1912,Female,17:11.9,,1912
1915,Female,17:12.3,,1915
1917,Female,19:26.7,,1917
1919,Female,19:45.8,,1919
1922,Female,19:46.0,,1922
1923,Female,21:20.8,,1923
1924,Female,22:43.4,,1924
1925,Female,22:53.4,,1925
1926,Female,22:53.6,Cull,1926
1929,Female,24:04.5,ARG,1929
1930,Female,24:59.1,,1930
1931,Female,24:59.2,,1931
1933,Female,25:24.0,ARG,1933
1934,Female,25:44.2,,1934
1939,Female,25:44.5,,1939
1940,Female,26:06.5,,1940
1941,Female,26:42.4,ARG,1941
1942,Female,26:42.5,Cull,1942
1943,Female,27:01.0,,1943
1944,Female,27:14.4,ARG,1944
1945,Female,27:14.5,,1945
1946,Female,27:52.0,,1946
1948,Female,28:14.9,ARG,1948
1950,Female,28:15.1,ARG,1950
1951,Female,29:15.2,,1951
1955,Female,29:43.5,ARG,1955
1956,Female,30:02.8,ARG,1956
1957,Female,30:03.0,,1957
1958,Female,30:42.0,ARG,1958
1959,Female,31:22.4,,1959
1961,Female,31:22.6,,1961
1963,Female,32:08.6,Cull,1963
1964,Female,33:03.1,ARG,1964
1967,Female,33:03.4,ARG,1967
1971,Female,33:28.4,ARG,1971
1974,Female,33:44.6,,1974
1975,Female,33:44.8,,1975
1976,Female,34:17.5,ARG,1976
1978,Female,34:29.4,,1978
1979,Female,34:29.6,Cull,1979
1980,Female,37:11.5,,1980
1982,Female,37:21.3,Cull,1982
1983,Female,37:21.6,ARG,1983
1984,Female,38:08.7,ARG,1984
1985,Female,39:16.0,Cull,1985
1986,Female,39:16.2,Bottle Baby 2018,1986
1987,Female,39:49.8,,1987
1988,Female,40:45.4,ARG,1988
1989,Female,40:45.5,ARG,1989
1990,Female,41:11.4,,1990
1991,Female,41:20.0,Cull,1991
1992,Female,41:20.1,,1992
1994,Female,42:01.5,ARG,1994
1995,Female,44:44.0,ARG,1995
1996,Female,44:56.2,,1996
1997,Female,44:56.4,ARG,1997
1998,Female,45:29.3,ARG,1998
1999,Female,45:41.1,,1999
2000,Female,45:41.3,ARG,2000
2001,Female,46:38.8,ARG,2001
2002,Female,46:53.3,ARG,2002
2004,Female,46:53.5,,2004
2005,Female,47:31.1,,2005
2007,Female,47:40.8,,2007
2009,Female,47:41.0,ARG,2009
