Goat_id,Note_date,Message
1976,01:29.1,New EID: 964001009986631
1976,02:56.7,Previous Tag: 012012
1976,02:56.9,New Tag: 12012
1901,05:35.8,New EID: 964001009986628
1901,06:32.2,Previous Tag: 010005
1901,06:32.4,New Tag: 10005
1878,10:32.0,New EID: 964001009986616
1878,10:46.1,Previous Tag: 010009
1878,10:46.3,New Tag: 10009
1955,13:30.2,New EID: 964001009986625
1955,13:46.6,Previous Tag: 012073
1955,13:46.8,New Tag: 12073
2337,30:41.6,New EID: 964001009986633
2305,32:52.1,New EID: 964001009986635
2355,36:37.8,New EID: 964001009986629
2355,56:18.5,EID should be reassigned
2002,11:42.8,New EID: 964001009986634
2002,11:58.8,Previous Tag: 012024
2002,11:58.9,New Tag: 12024
2515,12:52.2,New EID: 964001009986632
2515,13:53.3,Previous Tag: 012078
2515,13:53.4,New Tag: 12078
1974,15:26.1,New EID: 964001009986645
1906,17:00.9,New EID: 964001009986644
1906,17:11.9,Previous Tag: 011012
1906,17:12.3,New Tag: 11012
1979,19:26.7,New EID: 964001009986620
1979,19:45.8,Previous Tag: 010010
1979,19:46.0,New Tag: 10010
1979,21:20.8,Alice
1989,22:43.4,New EID: 964001009986642
1989,22:53.4,Previous Tag: 012013
1989,22:53.6,New Tag: 12013
1996,24:04.5,New EID: 964001009986641
1996,24:59.1,Previous Tag: 010006
1996,24:59.2,New Tag: 10006
2492,25:24.0,New EID: 964001009986640
2492,25:44.2,Previous Tag: 009015
2492,25:44.5,New Tag: 9015
1990,26:06.5,New EID: 964001009986639
1990,26:42.4,Previous Tag: 011047
1990,26:42.5,New Tag: 11047
1988,27:01.0,New EID: 964001009986638
1988,27:14.4,Previous Tag: 009022
1988,27:14.5,New Tag: 9022
1915,27:52.0,New EID: 964001009986637
1915,28:14.9,Previous Tag: 009009
1915,28:15.1,New Tag: 9009
1915,29:15.2,Tagged in right ear
1986,29:43.5,New EID: 964001009986636
1986,30:02.8,Previous Tag: 010021
1986,30:03.0,New Tag: 10021
1934,30:42.0,New EID: 964001009986643
1934,31:22.4,Previous Tag: 012116
1934,31:22.6,New Tag: 12116
1883,32:08.6,New EID: 964001009986655
1883,33:03.1,Previous Tag: 011034
1883,33:03.4,New Tag: 11034
2539,33:28.4,New EID: 964001009986654
2539,33:44.6,Previous Tag: 012119
2539,33:44.8,New Tag: 12119
1998,34:17.5,New EID: 964001009986653
1998,34:29.4,Previous Tag: 011006
1998,34:29.6,New Tag: 11006
2518,37:11.5,New EID: 964001009986652
2518,37:21.3,Previous Tag: 012082
2518,37:21.6,New Tag: 12082
1991,38:08.7,New EID: 964001009986651
1991,39:16.0,Previous Tag: 012037
1991,39:16.2,New Tag: 12037
1941,39:49.8,New EID: 964001009986650
1941,40:45.4,Previous Tag: 012032
1941,40:45.5,New Tag: 12032
1929,41:11.4,New EID: 964001009986646
1929,41:20.0,Previous Tag: 011050
1929,41:20.1,New Tag: 11050
1975,42:01.5,New EID: 964001009986647
1943,44:44.0,New EID: 964001009986649
1943,44:56.2,Previous Tag: 012020
1943,44:56.4,New Tag: 12020
2500,45:29.3,New EID: 964001009986648
2500,45:41.1,Previous Tag: 012061
2500,45:41.3,New Tag: 12061
1982,46:38.8,New EID: 964001009986674
1982,46:53.3,Previous Tag: 009020
1982,46:53.5,New Tag: 9020
1893,47:31.1,New EID: 964001009986617
1893,47:40.8,Previous Tag: 010002
1893,47:41.0,New Tag: 10002
2542,48:36.5,New EID: 964001009986672
2542,48:50.4,Previous Tag: 012121
2542,48:50.6,New Tag: 12121
1951,49:55.4,New EID: 964001009986666
1951,50:09.2,Previous Tag: 009024
1951,50:09.4,New Tag: 9024
1912,50:44.5,New EID: 964001009986669
1912,51:10.0,Previous Tag: 012028
1912,51:10.2,New Tag: 12028
1967,51:33.2,New EID: 964001009986670
1967,52:20.6,Previous Tag: 012016
1967,52:20.7,New Tag: 12016
1899,53:13.9,New EID: 964001009986668
1899,53:27.0,Previous Tag: 011008
1899,53:27.3,New Tag: 11008
1946,53:51.2,New EID: 964001009986673
1946,54:02.5,Previous Tag: 009023
1946,54:02.7,New Tag: 9023
1933,54:33.6,New EID: 964001009986667
1933,54:43.0,Previous Tag: 012047
1933,54:43.3,New Tag: 12047
1907,55:34.4,New EID: 964001009986675
1907,55:44.2,Previous Tag: 012111
1907,55:44.3,New Tag: 12111
1971,56:44.6,New EID: 964001009986665
1971,56:57.3,Previous Tag: 012001
1971,56:57.4,New Tag: 12001
1940,57:31.4,New EID: 964001009986671
1940,57:39.2,Previous Tag: 012019
1940,57:39.3,New Tag: 12019
1882,58:03.8,New EID: 964001009986663
1882,58:16.2,Previous Tag: 012040
1882,58:16.3,New Tag: 12040
2534,58:33.6,New EID: 964001009986664
2534,58:40.9,Previous Tag: 012112
2534,58:41.1,New Tag: 12112
2712,02:32.0,New Tag: 11003
1957,05:21.4,New EID: 964001009986661
1957,05:33.2,Previous Tag: 012010
1957,05:33.4,New Tag: 12010
1957,06:05.1,Previous EID: 964001009986661
1957,06:05.3,New EID: 964001009986618
2493,06:48.3,New EID: 964001009986656
2493,06:56.9,Previous Tag: 009014
2493,06:57.0,New Tag: 9014
1945,07:40.4,New EID: 964001009986661
1945,07:56.1,Previous Tag: 012092
1945,07:56.3,New Tag: 12092
2713,09:52.2,New EID: 964001009986660
2532,11:02.3,New EID: 964001009986659
2532,11:16.9,Previous Tag: 012107
2532,11:17.1,New Tag: 12107
2524,11:57.9,New EID: 964001009986658
2524,13:01.8,Previous Tag: 012095
2524,13:01.9,New Tag: 12095
1905,13:52.4,New EID: 964001009986657
1905,14:06.4,Previous Tag: 012079
1905,14:06.8,New Tag: 12079
2714,26:16.3,New Tag: 12053
2512,27:07.1,New EID: 964001009986726
2512,27:19.3,Previous Tag: 012075
2512,27:19.5,New Tag: 12075
2502,27:44.9,New EID: 964001009986731
2502,27:54.8,Previous Tag: 012063
2502,27:54.9,New Tag: 12063
2502,28:11.8,Lila
1902,28:32.8,New EID: 964001009986728
1902,28:41.8,Previous Tag: 012091
1902,28:42.0,New Tag: 12091
1924,29:02.8,New EID: 964001009986729
1924,29:14.9,Previous Tag: 009016
1924,29:15.2,New Tag: 9016
1959,29:35.0,New EID: 964001009986730
1959,29:53.3,Previous Tag: 010001
1959,29:53.5,New Tag: 10001
1897,31:13.0,New EID: 964001009986727
2514,32:35.3,New EID: 964001009986735
2514,32:43.0,Previous Tag: 012077
2514,32:43.4,New Tag: 12077
2073,33:16.0,New EID: 964001009986734
2073,33:26.6,Previous Tag: 011042
2073,33:26.7,New Tag: 11042
2073,33:41.8,Penny rose
2497,33:57.0,New EID: 964001009986733
2497,34:06.6,Previous Tag: 012057
2497,34:06.8,New Tag: 12057
2536,35:23.5,New EID: 964001009986732
2536,35:32.1,Previous Tag: 012115
2536,35:32.2,New Tag: 12115
2001,35:59.8,New EID: 964001009986716
2001,36:07.9,Previous Tag: 012018
2001,36:08.0,New Tag: 12018
2507,36:48.0,New EID: 964001009986717
2507,36:55.0,Previous Tag: 012069
2507,36:55.1,New Tag: 12069
2715,39:05.8,New EID: 964001009986718
2503,40:00.5,New EID: 964001009986720
2503,41:42.7,Previous Tag: 012064
2503,41:43.0,New Tag: 12064
2503,46:15.5,Previous EID: 964001009986720
2446,46:15.7,New EID: 964001009986720
2324,47:38.9,New EID: 964001009986721
1898,48:52.7,New EID: 964001009986719
1898,49:03.5,Previous Tag: 011019
1898,49:03.8,New Tag: 11019
1926,49:40.3,New EID: 964001009986722
1926,49:51.2,Previous Tag: 011046
1926,49:51.5,New Tag: 11046
2541,50:13.7,New EID: 964001009986723
2541,50:21.3,Previous Tag: 012123
2541,50:21.4,New Tag: 12123
1964,51:22.4,New EID: 964001009986724
1964,51:28.9,Previous Tag: 012025
1964,51:29.2,New Tag: 12025
1950,51:48.1,New EID: 964001009986725
1950,51:54.9,Previous Tag: 012022
1950,51:55.1,New Tag: 12022
1985,52:45.8,New EID: 964001009986755
1985,52:53.7,Previous Tag: 011010
